Productos,Precio Final
ABRAZADERA SENC.P/RIEGO 63MM X 1 (2X1) HEMBRA,"12,92"
ABRAZADERA SENC.P/RIEGO 63MM X 1/2 (2X1/2) HEMBRA,"12,80"
ABRAZADERA SENC.P/RIEGO 63MM X 3/4 (2X3/4) HEMBRA,"5,38"
ABRAZADERA SENC.P/RIEGO 90MM X 1 (3X1) HEMBRA,"8,29"
ACCESORIOS PARA BANO METAL CROMADO GRINACA,"37,47"
ACEITE 3 EN 1 90ML 122170,"5,37"
ACEITE 5 X 1 GOTERO 115CC SQ,"3,83"
ACEITE 5 X 1 SPRAY SQ 235 CC,"5,28"
ACEITE DIESEL C14 15W40 PAILA 19LTS INCA 000018,"248,57"
ACEITE DIESEL CF 50 PAILA 19 LITRO INCA 000016,"234,02"
ACEITE INCA 2 TIEMPO AGUA TCW LITRO,"17,82"
ACEITE INCA 2 TIEMPO AIRE LITRO,"16,56"
ACEITE INCA 4 TIEMPO 20W 50 LITRO,"14,91"
ACEITE INCA DEXRON III LITRO,"16,17"
ACEITE INCA MINERAL 15W 40 LITRO,"15,75"
ACEITE INCA MINERAL 20W 50 LITRO,"15,75"
ACEITE INCA SEMISINTETICO 10W 30 LITRO,"17,60"
ACEITE INCA SEMISINTETICO 20W 50 LITRO,"16,56"
ACEITE INCA SINTETICO 5W 20 LITRO,"20,30"
ACEITE INCA SINTETICO 5W 30 LITRO,"20,30"
ACEITE INCA TRANSMISION 80W90 GL4 LITRO,"16,37"
ACEITE INCA TRANSMISION 85W140 GL4 LITRO,"17,40"
ACEITE PARA ARMAS SONAX SQ 354CC,"6,21"
ACEITE SHELL HELIX 10W 30 LITRO 550057749,"18,50"
ACEITE SHELL HELIX 10W 40 LITRO 550057767,"18,50"
ACEITE SHELL HELIX 20W 50 LITRO 550045885,"16,89"
ACEITE SHELL RIMULA R2 50 PAILA 20 LT 44245855,"266,50"
ACEITE SHELL TRANSMISION AUTOMATICA SPIRAX S3 ATF MD3 LITRO 550049814,"18,59"
ACEITE TECA SQ 354 CC,"6,24"
ACEITE TRANMISION 85W140 PAILA 19LTS INCA 000021,"323,13"
ACEITERA PICO FLEXIBLE 500CC 14874 TRUPER,"17,97"
"ACOPLE RAPIDO 1/4"" HEM. TRUPER 19084","12,59"
"ACOPLE RAPIDO 1/4"" MACHO NPT MAXTOOL","7,41"
ACOPLE RAPIDO P/MANGUERA DE COMPRESOR AC001,"1,62"
ACRIELASTIC 290ML BLANCO SILIPEX,"11,83"
"ADAPTADOR 1/2"" H X 3/8"" M TRUPER 13422","12,34"
"ADAPTADOR 3/8"" H X 1/2"" M TRUPER 13420","7,67"
"ADAPTADOR 3/8"" H X 1/4"" M TRUPER 13423","6,34"
ADAPTADOR HEMBRA P/RIEGO 20MM X 1/2 (1/2X1/2),"1,38"
ADAPTADOR HEMBRA P/RIEGO 63MM X 1 (2X1),"8,50"
ADAPTADOR MACHO P/RIEGO 16MM X 1/2 (3/8X1/2),"0,51"
ADAPTADOR MACHO P/RIEGO 16MM X 3/4 (3/8X3/4),"0,88"
ADAPTADOR MACHO P/RIEGO 20MM X 1/2 (1/2X1/2),"1,38"
ADAPTADOR MACHO P/RIEGO 32MM X 1 (1X1),"3,19"
ADAPTADOR MACHO P/RIEGO 63MM X 2 (2X2),"6,03"
ADAPTADOR MACHO P/RIEGO 75MM X 2 1/2 (2 1/2X2 1/2),"12,93"
"ADAPTADOR PVC 1 1/2"" HEMBRA A/FRIA TUBRICA","1,70"
"ADAPTADOR PVC 1 1/2"" MACHO A/FRIA TUBRICA","1,26"
"ADAPTADOR PVC 1"" HEMBRA A/FRIA TUBRICA","1,07"
"ADAPTADOR PVC 1"" MACHO A/FRIA TUBRICA","0,74"
"ADAPTADOR PVC 1/2"" HEMBRA A/CAL TUBRICA","1,31"
"ADAPTADOR PVC 1/2"" HEMBRA A/FRIA PAVCO","0,45"
"ADAPTADOR PVC 1/2"" MACHO A/CAL TUBRICA","0,25"
"ADAPTADOR PVC 1/2"" MACHO A/FRIA CTV-B-16","0,45"
"ADAPTADOR PVC 1/2"" MACHO A/FRIA TUBRICA","0,44"
"ADAPTADOR PVC 2 1/2"" HEMBRA A/FRIA PAVCO","3,32"
"ADAPTADOR PVC 2 1/2"" MACHO A/FRIA PAVCO","3,32"
"ADAPTADOR PVC 2"" HEMBRA A/FRIA TUBRICA","2,44"
"ADAPTADOR PVC 2"" MACHO A/FRIA TUBRICA","1,90"
"ADAPTADOR PVC 3"" HEMBRA A/FRIA PAVCO","3,96"
"ADAPTADOR PVC 3"" HEMBRA A/FRIA TUBRICA","6,32"
"ADAPTADOR PVC 3"" MACHO A/FRIA TUBRICA","6,02"
"ADAPTADOR PVC 3/4"" HEMBRA A/CAL TUBRICA M/N","2,25"
"ADAPTADOR PVC 3/4"" HEMBRA A/CAL TUBRICA M/V","2,25"
"ADAPTADOR PVC 3/4"" HEMBRA A/FRIA PAVCO","0,62"
"ADAPTADOR PVC 3/4"" HEMBRA A/FRIA TUBRICA","0,42"
"ADAPTADOR PVC 3/4"" MACHO A/CAL TUBRICA","0,57"
"ADAPTADOR PVC 3/4"" MACHO A/FRIA TUBRICA","0,51"
"ADAPTADOR PVC REDUCCION 3/4"" A 1/2"" A/CAL HEMBRA PAVCO","0,52"
"ADAPTADOR PVC REDUCCION 3/4"" A 1/2"" A/FRIA MACHO TUBRICA","0,55"
ADAPTADOR ROSCA HEMBRA 1 1/2X1 1/2 (50X1 1/2) TERMOFUSION P00019,"11,24"
ADAPTADOR ROSCA HEMBRA 1 1/4X1 1/4 (40X1 1/4) TERMOFUSION P00018,"7,42"
ADAPTADOR ROSCA HEMBRA 1/2X1/2 (20X1/2) TERMOFUSION P00011,"1,83"
ADAPTADOR ROSCA HEMBRA 1/2X3/4 (20X3/4) TERMOFUSION P00012,"2,26"
ADAPTADOR ROSCA HEMBRA 1X1 (32X1) TERMOFUSION P00015,"5,39"
ADAPTADOR ROSCA HEMBRA 1X1/2 (32X1/2) TERMOFUSION P00016,"2,06"
ADAPTADOR ROSCA HEMBRA 1X3/4 (32X3/4) TERMOFUSION P00017,"2,76"
ADAPTADOR ROSCA HEMBRA 2X2 (63X2) TERMOFUSION P00020,"14,59"
ADAPTADOR ROSCA HEMBRA 3/4X1/2 (25X1/2) TERMOFUSION P00013,"1,87"
ADAPTADOR ROSCA HEMBRA 3/4X3/4 (25X3/4) TERMOFUSION P00014,"2,51"
ADAPTADOR ROSCA MACHO 1/2X1/2 (20X1/2) TERMOFUSION P00707,"2,15"
ADAPTADOR ROSCA MACHO 1/2X3/4 (20X3/4) TERMOFUSION P00022,"2,26"
ADAPTADOR ROSCA MACHO 1X1 (32X1) TERMOFUSION P00025,"5,39"
ADAPTADOR ROSCA MACHO 1X1/2 (32X1/2) TERMOFUSION P00026,"2,64"
ADAPTADOR ROSCA MACHO 1X3/4 (32X3/4) TERMOFUSION P00027,"3,13"
ADAPTADOR ROSCA MACHO 3/4X1/2 (25X1/2) TERMOFUSION P00023,"2,39"
ADAPTADOR ROSCA MACHO 3/4X3/4 (25X3/4) TERMOFUSION P00024,"2,51"
ADAPTADOR TORNILLO 1.7/8 P/T 10MM TOLSEN 77832,"1,38"
ADAPTADOR TORNILLO 1.7/8 P/T 6MM 315835,"16,82"
ADAPTADOR TORNILLO 1.7/8 P/T 8MM 315837,"17,60"
ADITIVO ORCA CLEAR FLEX (PROTECTOR FACHADAS) GALON,"51,92"
ADITIVO SUPER A LITRO,"8,82"
ADITIVO SUPER A REMOVEDOR DE CEMENTO GALON,"44,89"
ADITIVO SUPER A REMOVEDOR DE CEMENTO LITRO,"14,53"
ADITIVO SUPER A SILICON (PROTECTOR FACHADAS) 4 GALONES,"214,69"
ADITIVO SUPER A SILICON (PROTECTOR FACHADAS) GALON,"55,91"
ADITIVO SUPER A-80 LITRO,"13,82"
ADITIVO SUPER A-LATEX LITRO,"9,80"
ADORNO FORJ MANILLA CUAD ACANALADA ENTORCHADA 1/2 20CMS,"0,20"
AEROCLIP SKIN AEROCLOSET 5433,"3,52"
AEROESQUINERO SKIN AEROCLOSET 5402,"7,03"
AGARRE ANTIDESLIZANTE SPRAY SQ 235CC,"5,22"
AGUA MINALBA 1.5 LTS,"2,23"
AGUA MINALBA 355 ML,"0,94"
AGUA MINALBA 600 ML,"1,20"
AIREADOR P/GRIFOS NEGRO 53CM ALTO GB-898 360,"1,60"
AIREADOR P/GRIFOS R-0604BO METALES ALEADOS HEMBRA,"2,16"
AISLADOR FINAL P/CERCO ELECTRICO,"0,52"
AISLADOR P/CABILLA P/CERCO ELECTRICO,"0,04"
AISLADOR PUNTILLA P/CERCO ELECTRICO,"0,04"
ALAMBRE GALV C-16 1.65MM 59.60MT,"6,18"
"ALAMBRE GALV C-17.5 FINO 1,35MM ROLLO DE 750 GRAMOS EXXEL 06-001-016","4,97"
ALAMBRE GALV CERCO ELEC. D-2.11MM X 50KG ROLLO,"317,88"
ALAMBRE PUA 400MTS C-16.5 EXXEL 06-001-014,"101,07"
ALAMBRE PUA MOTTO 400MTS C-16.5 VICSON,"104,43"
ALAMBRE PUA MOTTO 500MTS C-15 VICSON,"167,79"
ALAMBRON ESTRIADO 4.50MM X 6MTS,"1,70"
ALAMBRON ESTRIADO 5.20MM X 6.MTS,"2,26"
ALAMBRON ESTRIADO 7.00MM X 6MTS,"4,09"
ALAMBRON REDONDO LISO 4.50MM X 6MTS.,"1,70"
ALAMBRON REDONDO LISO 5.20MM X 6MTS.,"2,25"
ALARMA AUDIBLE C/LUZ ROJO 110V ANDELI CON14295/AD16-22M/R110V,"5,83"
ALARMA AUDIBLE C/LUZ ROJO 220V ANDELI CON14293/AD16-22M/R220V,"5,83"
ALCAYATA PARA HAMACA DE GANCHO C/BASE UND,"4,05"
ALCOSOL 235 CC SQAALCOS,"4,77"
"ALDABA PLATEADA 1.1/2""","0,65"
"ALDABA PLATEADA 2 1/2"" BV F01A125","0,57"
"ALDABA PLATEADA 2"" BV F01A120","0,94"
ALICATE ARTICULADO EXTENSION 10PUL HR-235,"9,69"
"ALICATE DE CORTE DIAGONAL 6"" TRUPER MOD. 17312 T202","20,36"
"ALICATE DE CORTE DIAGONAL 8"" PRETUL 22639","10,06"
"ALICATE DE PRESION 10"" BRUFER 201342-1","26,54"
"ALICATE DE PRESION 10"" EXXEL 00-002-024","12,37"
"ALICATE DE PRESION 10"" HR-M3217","12,22"
"ALICATE DE PRESION 10"" TRUPER PPT-10R 17424","42,80"
"ALICATE DE PRESION 11"" TIPO C HR-510","8,82"
"ALICATE ELECTRICISTA 6"" EXXEL 00-002-031","6,13"
"ALICATE ELECTRICISTA 6"" EXXEL 00-002-095","5,60"
"ALICATE ELECTRICISTA 8"" EXXEL 00-002-096","8,35"
"ALICATE ELECTRICISTA 8"" PRETUL 22606","16,07"
"ALICATE GANADERO 10"" EXXEL 00-002-038","18,08"
ALICATE GANADERO MILTI USO MOD. 17354 TRUPER,"71,30"
"ALICATE MECANICO 10"" EXXEL 16-006","9,92"
"ALICATE MECANICO 6"" EXXEL 00-002-021","5,60"
"ALICATE MECANICO 8"" EXXEL 16-004","7,16"
"ALICATE MECANICO 8"" MOD.PRETUL 22654","10,24"
"ALICATE PELACABLE 9"" 22710 PRETUL","14,82"
"ALICATE PELACABLE 9"" TRUPER PE-CA-17353","31,67"
"ALICATE PINZA 6"" EXXEL 03-003 PINZA Y CORTE","6,05"
"ALICATE PINZA 7"" ELECTRI. PRETUL 22625","8,48"
"ALICATE PINZA 8"" EXXEL 03-004 PINZA Y CORTE","6,37"
"ALICATE PINZA 8"" EXXEL 46-011 / 00-002-098","7,61"
"ALICATE PIQUETA 6"" EXXEL 46-012","5,26"
"ALICATE PRESION 10"" EXXEL 00-002-028","12,43"
"ALICATE PRESION 11"" EXXEL 00-002-029","12,83"
"ALICATE PRESION 11"" MOD.TRUPER 17427","57,49"
ALICATE PRESION C/CADENA. TRUPER 17438,"81,23"
ALICATE SACA RETEN C/I TRUPER 17362,"36,51"
ALICATE SACABOCADO 10 PUL,"6,66"
AMARRE PARA ZINC (100 UNID),"10,41"
"AMARRE PLASTICO BLANCO 10"" X 4.8MM UND","0,10"
"AMARRE PLASTICO BLANCO 12"" X 3.6MM UND","0,12"
"AMARRE PLASTICO BLANCO 12"" X 4.6MM UND","0,10"
"AMARRE PLASTICO BLANCO 12"" X 7.6MM UND","0,06"
"AMARRE PLASTICO BLANCO 14"" X 4.6MM UND","0,13"
"AMARRE PLASTICO BLANCO 14"" X 7.2MM UND","0,12"
"AMARRE PLASTICO BLANCO 14"" X 7.6MM UND","0,12"
"AMARRE PLASTICO BLANCO 15"" X 4.7MM UND","0,07"
"AMARRE PLASTICO BLANCO 16"" X 7.6MM UND","0,13"
"AMARRE PLASTICO BLANCO 21"" X 9.00MM UND","0,57"
"AMARRE PLASTICO BLANCO 4"" X 2.5MM UND","0,01"
"AMARRE PLASTICO BLANCO 6"" X 2.5MM UND","0,04"
"AMARRE PLASTICO BLANCO 6"" X 3.6MM UND","0,06"
"AMARRE PLASTICO BLANCO 6"" X 4,0MM UND","0,01"
"AMARRE PLASTICO BLANCO 8"" X 2.5MM UND","0,06"
"AMARRE PLASTICO BLANCO 8"" X 3.6MM UND","0,04"
"AMARRE PLASTICO NEGRO 10"" X 4.8MM UND","0,10"
"AMARRE PLASTICO NEGRO 12"" X 3.6MM UND","0,06"
"AMARRE PLASTICO NEGRO 12"" X 4.8MM UND","0,12"
"AMARRE PLASTICO NEGRO 12"" X 7.6MM UND","0,06"
"AMARRE PLASTICO NEGRO 14"" X 4.6MM UND","0,13"
"AMARRE PLASTICO NEGRO 26"" X 9,0MM UND","0,67"
"AMARRE PLASTICO NEGRO 6"" X 2.5MM UND","0,01"
"AMARRE PLASTICO NEGRO 6"" X 3.6MM UND","0,04"
"AMARRE PLASTICO NEGRO 8"" X 2.5MM UND","0,10"
"AMARRE PLASTICO NEGRO 8"" X 3.6MM UND","0,06"
AMBIENTADOR FRESCAROMA BEBE SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA BRISA MARINA SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA FRESA SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA GARDENIA SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA LAVANDA SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA MANZANA SQ 300CC,"5,83"
AMBIENTADOR FRESCAROMA VAINILLA SQ 300CC,"5,83"
AMORTIGUADOR D/CAMPANA P/DESMAL B-7,"1,33"
AMORTIGUADORES TRASEROS HORSE(PAR) HSA1393,"34,03"
AMPERIMETRO P/CARRO 12V 220,"8,05"
AMPOLLA P/REFLE LUZ BLAN LED 28 X 118MM 15W 110V LED77,"18,63"
ANDAMIO RUTEL GRANDE ANCHO 1.25M X LARGO 2M X ALTO 1.9M,"374,58"
ANDAMIO RUTEL PEQUENO ANCHO 85CM X LARGO 97CM X ALTO 1.56M,"203,91"
ANGULO HN 1 1/2 X 3MM X 6MTS (40X3),"22,00"
ANGULO HN 1 1/2 X 4MM X 6MTS (40X4),"29,38"
ANGULO HN 1 1/4 X 1/8 X 6MTS (30X3),"16,49"
ANGULO HN 1 X 1/8 X 6MTS (25X3),"13,98"
ANGULO HN 2 1/2 X 6MM X 12MTS (65X6),"157,06"
ANGULO HN 2 1/2 X 6MM X 6MTS (65X6),"78,53"
ANGULO HN 3 1/2 X 7MM X 12MTS (90X7),"263,32"
ANGULO HN 3 X 7MM X 12MTS (75X7),"211,03"
ANGULO HN 3 X 7MM X 6MTS (75X7),"105,52"
ANGULO HN 3/4 X 1/8 X 6MTS (20X3),"11,95"
ANGULO HN 4 X 8MM X 12MTS (100X8),"334,33"
ANGULO HN 4 X10MM X 12MTS (100X10),"411,03"
ANGULO LAMINADO 25 X 25 X 2.00MM X 6MTS (25x2),"12,25"
ANGULO LAMINADO 30 X 30 X 3.00MM X 6MTS (30x3),"18,97"
"ANILLO EMT 1 1/2""","2,87"
"ANILLO EMT 1""","3,26"
"ANILLO EMT 1/2""","0,81"
"ANILLO EMT 3""","14,91"
"ANILLO EMT 3/4""","1,23"
"ANILLO GALVANIZADO 1 1/4""","3,71"
"ANILLO GALVANIZADO 1""","2,58"
"ANILLO GALVANIZADO 1.1/2""","4,71"
"ANILLO GALVANIZADO 1/2""","1,61"
"ANILLO GALVANIZADO 2""","6,60"
"ANILLO GALVANIZADO 3""","14,78"
"ANILLO GALVANIZADO 3/4""","1,58"
"ANILLO GALVANIZADO 4""","24,11"
"ANILLO LISO 1 1/2"" (50MM) TERMOFUSION P00056","0,83"
"ANILLO LISO 1 1/4"" (40MM) TERMOFUSION P00060","0,62"
"ANILLO LISO 1"" (32MM) TERMOFUSION P00055","0,36"
"ANILLO LISO 1/2"" (20MM) TERMOFUSION P00053","0,17"
"ANILLO LISO 2 1/2"" (75MM) TERMOFUSION P00058","2,51"
"ANILLO LISO 2"" (63MM) TERMOFUSION P00057","1,62"
"ANILLO LISO 3/4"" (25MM) TERMOFUSION P00054","0,25"
"ANILLO PARA CERCA CICLON 1 1/4""","7,93"
ANZUELO PARA PESCAR N. 7,"0,22"
ANZUELO PARA PESCAR N.11,"0,16"
APLIQUE COLIBRÍ P/MATEROS,"26,10"
APLIQUE GATO P/MATEROS,"34,80"
APLIQUE GATO Y RATON P/MATEROS,"62,64"
APLIQUE MEDIA LUNA BLANCO 032407,"9,63"
APLIQUE PERRO P/MATEROS,"22,62"
ARANDELA DE BASE S/A POL-17,"0,16"
ARANDELA DE BATERIA (PAR),"3,67"
ARANDELA DE COBRE SURTIDA UND HR-474,"0,15"
"ARANDELA DE PRESION 1/2"" GALV","0,32"
"ARANDELA DE PRESION 1/4"" GALV","0,01"
"ARANDELA DE PRESION 3/4"" GALV","0,59"
"ARANDELA DE PRESION 3/8"" GALV","0,30"
"ARANDELA DE PRESION 5/16"" GALV","0,30"
ARANDELA NEOPLENO TORNILLO AUTOLADRANTE 12-18,"0,09"
ARANDELA NEOPLENO TORNILLO AUTOLADRANTE 14-18,"0,09"
"ARANDELA PLANA 1/2""","0,45"
"ARANDELA PLANA 1/4""","0,06"
"ARANDELA PLANA 3/16""","0,04"
"ARANDELA PLANA 3/4""","0,81"
"ARANDELA PLANA 3/8""","0,12"
"ARANDELA PLANA 5/16""-146 PZ","0,20"
"ARANDELA PLANA 8/32""","0,01"
"ARCO P/SEGUETA 10"" EXXEL 24-053 MINI ARCO","5,31"
"ARCO P/SEGUETA 12"" EXXEL 00-003-009","5,35"
"ARCO P/SEGUETA 12"" EXXEL NEGRO 00-003-003/03-142","4,63"
ARCO P/SEGUETA HR-13,"4,19"
"ARMELLA ABIERTA CROMADA 1""","0,61"
"ARMELLA ABIERTA CROMADA 1/2""","0,46"
"ARMELLA ABIERTA CROMADA 3/16""","0,19"
"ARMELLA ABIERTA CROMADA 5/8""","0,41"
"ARMELLA CERRADA CROMADA 1""","0,67"
"ARMELLA CERRADA CROMADA 1/2""","0,46"
"ARMELLA CERRADA CROMADA 3/16""","1,28"
ARNES PROFESIONAL P/DESMALEZADORA CG430/520-82,"11,31"
ASFALTO LIQUIDO DURA EDIL 4 GALONES 31100503,"97,08"
ASFALTO LIQUIDO DURA EDIL GALON 31100110,"28,55"
ASIENTO DE GOMA MILENIUM,"0,23"
ASIENTO ELEGANCE - EMPIRE KCA1726,"27,19"
ASIENTO ESCALONADO HORSE-EMPIRE HCA1949,"27,19"
ASIENTO FOTOGRABADO TX EMPIRE TCA1981,"27,19"
ASIENTO SCOOTER MATRIX/MUSTANG/FORMULA MCA0217,"34,03"
ASIENTO SPEED EMPIRE KCA1863,"27,19"
ASIENTO TREX - UNICO ECA0628,"18,08"
ASIENTO W.C. GAUDI EF SLOW DOWN ELONGADO BLANCO VENCERAMICA SP0096731321CI,"34,44"
ASIENTO W.C. GAUDI RF SLOW DOWN REDONDO BLANCO VENCERAMICA SP0096721321CI,"32,63"
ASIENTO W.C. MAGNOLIA PLUS REG.BLANCO VENCERAMICA SP003767132BL,"37,16"
ASIENTO W.C. MONTECRISTO BLANCO ELONGADO VENCERAMICA SP0095021321BL,"30,81"
ASIENTO W.C. MONTECRISTO REGULAR BLANCO VENCERAMICA,"19,94"
ASIENTO W.C. NEW CONTRY ELONGADO BLANCO VENCERAMICA SP0037681321BL,"45,31"
ASIENTO W.C. STANDAR PLUS BLANCO VENCERAMICA,"11,60"
ASPA PARA BOMBA DE 1/2 HP,"4,35"
ASPERSOR METAL 3BRAZOS TESCO 01-879,"24,43"
ASPERSOR METAL FIJO TESCO 01-880,"25,06"
"ASPERSOR PLASTICO 1/2"" FJY8003A","2,83"
ASPIRADORA 12 VOLT P/AUTOS AV1500LA,"158,02"
ASPIRADORA 12GL SHOP VAC 4.5HP 5981100/5981300,"187,50"
ATORNILLADOR 12V 1BAT GSR120LI BOSCH 865177,"153,16"
BAJANTE PARA CANAL GALVANIZADO,"4,67"
BALANCIN PARA W.C. CON MANILLA METALICA GB-817,"1,36"
BALANCIN PARA W.C. LF 04-010-015,"2,12"
BALANZA DIGITAL PORTATIL 10KGS HR-732,"7,00"
BALANZA DIGITAL RECARGABLE 40KGS HR-M3481,"72,11"
BALANZA DOBLE CARA 25 KG COLGANTE VENBLAS,"60,18"
BALASTO 2 X 40 PH 120V. PHILIPS,"33,09"
BALASTO ELECT MULTIVOLTAJE 2X17W VENCOLUX BALM001,"11,79"
BALASTO ELECT P/TUBO CIRC 22W C/SOCATE,"4,89"
BALASTO ELECT P/TUBO CIRCULAR 32W,"4,94"
BALASTO ELECT P/TUBO LINEAL 1X40W,"4,73"
BALASTO ELECT P/TUBO LINEAL 2X32W PHILIPS,"65,98"
BALASTO ELECT P/TUBO LINEAL 3X17W FERMETAL BAL-31,"72,56"
BALASTO ELECT P/TUBO LINEAL 3X32W FERMETAL BAL-32,"27,81"
BALASTO ELECT P/TUBO LINEAL 3X32W PHILIPS,"26,94"
BALASTO ELECT P/TUBO LINEAL 4X32W UNIVERSAL,"23,11"
"BANDA D/LIJA 1/2"" 120GR 2615000432 DREMEL 863146","4,54"
"BANDA D/LIJA 1/2"" 60GR 2615000408 DREMEL 863094","4,58"
"BANDA D/LIJA 1/4"" 240GR 26150446AA DREMEL 863188","4,26"
BANDEJA CEBRA PLASTICA CON LOGO,"7,02"
"BANDEJA PARA YESO CUADRADA 12""","29,70"
BANDERAS P/PORTON SANTA MARIA S/TORNILLO (PAR),"49,20"
BARNIZ CROMAS MARINO GALON,"80,71"
BARNIZ CROMAS MATE GALON NATURAL,"44,34"
BARNIZ REINCO SECADO RAPIDO 1/4 GALON CAOBA 3000-522,"14,47"
BARNIZ REINCO SECADO RAPIDO 1/4 GALON NOGAL 3000-512,"14,47"
BARNIZ REINCO SECADO RAPIDO 1/4 GALON SAMAN 3000-532,"14,47"
BARNIZ REINCO SECADO RAPIDO BRILLANTE 1/4 GALON NATURAL 3000-502,"14,47"
BARNIZ REINCO SECADO RAPIDO BRILLANTE GALON NATURAL 3000-501,"49,97"
BARNIZ REINCO SECADO RAPIDO BRILLANTE GALON NOGAL 3000-511,"49,97"
BARNIZ REINCO SECADO RAPIDO GALON SAMAN 3000-531,"49,97"
BARNIZ REINCO SECADO RAPIDO MATE 1/4 GALON NATURAL 3000-552,"14,47"
BARNIZ REINCO SECADO RAPIDO MATE GALON NATURAL 3000-551,"49,97"
BARNIZ SOLINTEX CAOBA CLARO 1/4 GALON 410,"12,79"
BARNIZ SOLINTEX TRANSPARENTE 1/4 GALON 405,"12,64"
